order_id,product_id,add_to_cart_order,reordered
12,30597,1,1
12,15221,2,1
12,43772,3,1
12,37886,4,1
12,37215,5,0
12,34335,6,1
12,3164,7,0
12,26910,8,0
12,38888,9,0
12,38050,10,1
12,25213,11,0
12,11175,12,0
12,23390,13,0
12,29471,14,0
12,43511,15,0
50,397,1,0
50,34993,2,0
50,17183,3,1
50,37788,4,0
50,1025,5,1
50,4799,6,1
50,276,7,0
90,42265,1,1
90,33043,2,0
90,890,3,0
90,44449,4,0
90,12797,5,1
236,44632,1,1
236,6218,2,1
236,24838,3,1
236,44257,4,0
236,45645,5,0
236,31824,6,1
236,25890,7,0
236,21616,8,0
236,45066,9,0
236,41774,10,0
236,10132,11,0
252,11512,1,1
252,39984,2,0
252,46886,3,0
252,39599,4,1
252,39190,5,0
252,10749,6,1
252,14814,7,1
252,31717,8,1
263,34368,1,0
263,4180,2,1
263,42431,3,0
263,37449,4,0
268,44340,1,0
309,13255,1,0
369,36051,1,0
369,19887,2,0
369,17122,3,0
369,37687,4,0
385,28050,1,1
385,39619,2,1
385,18531,3,1
385,48679,4,1
385,8021,5,1
385,2086,6,0
461,47209,1,1
461,26209,2,1
461,29315,3,1
461,32156,4,1
461,39351,5,1
461,37320,6,1
461,11821,7,1
461,723,8,0
461,46175,9,1
461,25745,10,0
461,6414,11,1
461,15638,12,0
461,22717,13,0
461,39620,14,0
461,47962,15,0
461,32133,16,0
461,1138,17,0
461,10321,18,0
461,21781,19,1
461,44925,20,0
461,38407,21,0
461,1313,22,1
461,19068,23,1
461,41065,24,0
461,19048,25,0
461,37646,26,0
461,47626,27,0
461,38889,28,1
461,40997,29,1
489,6195,1,1
489,22025,2,0
489,6825,3,0
489,46676,4,1
489,15030,5,1
489,21709,6,0
494,27730,1,1
494,40001,2,1
494,46069,3,1
494,11140,4,1
494,30494,5,1
494,43988,6,1
494,41860,7,1
494,30489,8,1
494,32486,9,0
494,45123,10,1
494,7821,11,0
494,9438,12,1
495,18860,1,1
495,8153,2,1
495,41131,3,1
611,5793,1,1
611,35849,2,1
611,30073,3,1
611,43049,4,1
611,30960,5,1
611,24716,6,1
611,20682,7,1
611,24053,8,1
611,20772,9,1
658,46979,1,0
658,47209,2,1
658,36695,3,1
658,21903,4,1
658,22935,5,1
658,10163,6,1
658,38400,7,1
658,43295,8,1
658,48679,9,1
658,10291,10,1
658,16008,11,1
658,40396,12,1
658,22475,13,0
658,23695,14,0
658,19610,15,0
658,47042,16,1
681,23178,1,1
681,46474,2,1
681,35535,3,1
681,22935,4,1
681,37897,5,1
681,24759,6,1
681,31506,7,1
681,41220,8,1
695,27086,1,1
695,21709,2,1
695,35951,3,1
695,33592,4,1
695,13176,5,1
695,2228,6,1
695,21903,7,1
695,17948,8,1
695,24489,9,1
695,2452,10,1
695,34126,11,1
695,14127,12,1
695,26800,13,1
695,46906,14,0
